Transacao,Data de compra,ID Consumidor,ID Produto,Quantidade
36,1/1/2019,240,7,2
37,1/1/2019,6510,3,5
38,1/1/2019,7570,10,3
39,1/1/2019,4686,1,5
40,1/1/2019,6207,16,5
41,1/1/2019,1161,8,5
42,1/2/2019,8746,16,6
43,1/2/2019,9736,16,5
44,1/2/2019,1634,6,4
45,1/2/2019,6253,2,4
46,1/2/2019,4239,1,4
47,1/3/2019,6960,1,5
48,1/3/2019,9812,17,5
49,1/4/2019,4279,8,4
50,1/4/2019,1940,14,3
51,1/4/2019,3799,20,5
52,1/4/2019,566,8,2
53,1/4/2019,5125,9,6
54,1/4/2019,10026,6,5
55,1/5/2019,2533,7,5
56,1/5/2019,7733,2,4
57,1/5/2019,3533,14,4
58,1/5/2019,3490,19,3
59,1/5/2019,9125,10,3
60,1/5/2019,10070,16,3
61,1/5/2019,3533,19,5
62,1/6/2019,1596,10,3
63,1/7/2019,8248,3,6
64,1/7/2019,3197,16,5
65,1/7/2019,2061,15,5
66,1/7/2019,5590,17,4
67,1/7/2019,760,6,5
68,1/8/2019,753,7,3
69,1/8/2019,2327,3,4
70,1/8/2019,7576,20,5
71,1/8/2019,864,16,5
72,1/8/2019,8593,19,5
73,1/8/2019,711,12,4
74,1/8/2019,6460,6,4
75,1/9/2019,1216,3,3
76,1/9/2019,2997,6,6
77,1/9/2019,4925,5,6
78,1/9/2019,2198,4,3
79,1/9/2019,6021,4,5
80,1/9/2019,2390,18,3
81,1/10/2019,240,9,4
82,1/10/2019,7354,14,6
83,1/10/2019,4396,19,5
84,1/10/2019,7823,7,4
85,1/10/2019,76,15,5
86,1/10/2019,3849,5,6
87,1/11/2019,7493,18,4
88,1/11/2019,1193,15,5
89,1/11/2019,1429,8,6
90,1/12/2019,4544,15,5
91,1/12/2019,1275,17,4
92,1/12/2019,1681,8,5
93,1/12/2019,4315,7,4
94,1/12/2019,9175,13,5
95,1/12/2019,8054,10,3
96,1/12/2019,7702,14,4
97,1/12/2019,769,13,4
98,1/13/2019,20,6,3
99,1/13/2019,6348,3,6
100,1/13/2019,7622,10,6
101,1/13/2019,4021,19,5
102,1/13/2019,2086,18,3
103,1/13/2019,8862,7,4
104,1/13/2019,1429,6,2
105,1/13/2019,8289,9,3
106,1/14/2019,4544,7,3
107,1/14/2019,4564,6,4
108,1/14/2019,6713,2,4
109,1/14/2019,7569,3,4
110,1/14/2019,3593,1,3
111,1/14/2019,1254,5,4
112,1/14/2019,8818,5,5
113,1/14/2019,5499,10,2
114,1/14/2019,5649,18,4
115,1/15/2019,2924,18,5
116,1/15/2019,3861,1,2
117,1/15/2019,4396,20,3
118,1/15/2019,3313,12,3
119,1/15/2019,10213,15,4
120,1/15/2019,2331,2,3
121,1/15/2019,9044,15,5
122,1/15/2019,9459,4,3
123,1/15/2019,3938,5,5
124,1/15/2019,10240,8,4
125,1/16/2019,780,2,3
126,1/16/2019,6760,16,4
127,1/16/2019,28,9,4
128,1/16/2019,1147,3,4
129,1/16/2019,6021,18,5
130,1/16/2019,484,14,5
131,1/16/2019,7075,8,3
132,1/16/2019,5973,12,5
133,1/17/2019,1900,9,2
134,1/17/2019,8154,5,5
135,1/17/2019,7263,7,4
136,1/17/2019,7694,16,4
137,1/17/2019,8091,9,4
138,1/17/2019,8259,11,2
139,1/17/2019,3334,10,5
140,1/17/2019,8731,20,5
141,1/17/2019,2019,10,5
142,1/17/2019,2775,9,6
143,1/18/2019,7743,14,5
144,1/18/2019,4021,13,4
145,1/18/2019,6518,12,5
146,1/18/2019,1748,12,4
147,1/18/2019,2673,13,3
148,1/18/2019,7359,19,5
149,1/18/2019,8452,9,5
150,1/18/2019,6957,11,4
151,1/18/2019,7075,11,4
152,1/18/2019,6647,15,5
153,1/18/2019,4564,5,2
154,1/18/2019,5898,7,3
155,1/18/2019,8269,3,5
156,1/19/2019,1906,11,5
157,1/19/2019,6439,6,6
158,1/19/2019,5230,7,6
159,1/19/2019,1249,6,4
160,1/19/2019,4552,13,4
161,1/19/2019,4727,9,5
162,1/19/2019,7781,19,5
163,1/19/2019,3567,5,4
164,1/19/2019,8818,1,5
165,1/19/2019,5238,4,2
166,1/19/2019,2035,17,5
167,1/19/2019,3132,12,6
168,1/19/2019,8147,3,3
169,1/19/2019,5388,5,2
170,1/20/2019,8830,9,1
171,1/20/2019,3776,1,3
172,1/20/2019,8220,10,3
173,1/20/2019,1193,1,6
174,1/20/2019,9810,14,6
175,1/20/2019,5026,2,3
176,1/20/2019,2398,2,3
177,1/20/2019,7845,14,2
178,1/20/2019,4445,8,5
179,1/20/2019,2921,19,3
180,1/21/2019,6079,1,4
181,1/21/2019,3242,15,5
182,1/21/2019,4066,16,3
183,1/22/2019,8291,13,3
184,1/22/2019,5991,3,4
185,1/22/2019,7446,11,3
186,1/22/2019,2251,17,4
187,1/22/2019,3001,8,4
188,1/22/2019,7823,15,6
189,1/22/2019,9129,2,6
190,1/22/2019,8060,6,1
191,1/22/2019,2361,19,3
192,1/23/2019,4016,14,5
193,1/23/2019,1313,3,4
